title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Eternal Sunshine of the Spotless Mind,1h 48min,"Drama,Romance,Sci-Fi",Michel Gondry,"Charlie Kaufman,Michel Gondry","Jim Carrey,Kate Winslet,Tom Wilkinson",8.3,"739,942"
Taxi Driver,1h 53min,"Crime,Drama",Martin Scorsese,,"Robert De Niro,Jodie Foster,Cybill Shepherd",8.3,"566,347"
To Kill a Mockingbird,2h 9min,"Crime,Drama",Robert Mulligan,"Harper Lee,Horton Foote","Gregory Peck,John Megna,Frank Overton",8.3,"240,566"
Full Metal Jacket,1h 56min,"Drama,War",Stanley Kubrick,"Gustav Hasford,Stanley Kubrick","Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",8.3,"540,911"
2001: A Space Odyssey,2h 29min,"Adventure,Sci-Fi",Stanley Kubrick,"Stanley Kubrick,Arthur C. Clarke","Keir Dullea,Gary Lockwood,William Sylvester",8.3,"477,276"
Singin' in the Rain,1h 43min,"Comedy,Musical,Romance",,"Betty Comden,Adolph Green","Gene Kelly,Donald O'Connor,Debbie Reynolds",8.3,"170,891"
Dunkirk,1h 46min,"Action,Drama,History",Christopher Nolan,,"Fionn Whitehead,Barry Keoghan,Mark Rylance",8.3,"230,806"
Toy Story 3,1h 43min,"Animation,Adventure,Comedy",Lee Unkrich,"John Lasseter,Andrew Stanton","Tom Hanks,Tim Allen,Joan Cusack",8.3,"606,589"
Toy Story,1h 21min,"Animation,Adventure,Comedy",John Lasseter,"John Lasseter,Pete Docter","Tom Hanks,Tim Allen,Don Rickles",8.3,"697,998"
The Sting,2h 9min,"Comedy,Crime,Drama",George Roy Hill,,"Paul Newman,Robert Redford,Robert Shaw",8.3,"194,610"
3 Idiots,2h 50min,"Comedy,Drama",Rajkumar Hirani,"Rajkumar Hirani,Abhijat Joshi","Aamir Khan,Madhavan,Mona Singh",8.4,"253,047"
Inglourious Basterds,2h 33min,"Adventure,Drama,War",,,"Brad Pitt,Diane Kruger,Eli Roth",8.3,"994,545"
Ladri di biciclette,1h 29min,Drama,Vittorio De Sica,"Cesare Zavattini,Luigi Bartolini","Lamberto Maggiorani,Enzo Staiola,Lianella Carell",8.3,"107,670"
The Kid,1h 8min,"Comedy,Drama,Family",Charles Chaplin,,"Charles Chaplin,Edna Purviance,Jackie Coogan",8.3,"79,645"
Snatch,1h 44min,"Comedy,Crime",Guy Ritchie,,"Jason Statham,Brad Pitt,Benicio Del Toro",8.3,"657,864"
Monty Python and the Holy Grail,1h 31min,"Adventure,Comedy,Fantasy",,"Graham Chapman,John Cleese","Graham Chapman,John Cleese,Eric Idle",8.3,"416,705"
Good Will Hunting,2h 6min,Drama,Gus Van Sant,"Matt Damon,Ben Affleck","Robin Williams,Matt Damon,Ben Affleck",8.3,"680,135"
Jagten,1h 55min,Drama,Thomas Vinterberg,"Tobias Lindholm,Thomas Vinterberg","Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",8.3,"203,210"
Per qualche dollaro in più,2h 12min,Western,Sergio Leone,"Sergio Leone,Fulvio Morsella","Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",8.3,"178,079"
L.A. Confidential,2h 18min,"Crime,Drama,Mystery",Curtis Hanson,"James Ellroy,Brian Helgeland","Kevin Spacey,Russell Crowe,Guy Pearce",8.3,"450,920"
Scarface,2h 50min,"Crime,Drama",Brian De Palma,,"Al Pacino,Michelle Pfeiffer,Steven Bauer",8.3,"594,527"
The Apartment,2h 5min,"Comedy,Drama,Romance",Billy Wilder,"Billy Wilder,I.A.L. Diamond","Jack Lemmon,Shirley MacLaine,Fred MacMurray",8.3,"123,293"
Metropolis,2h 33min,"Drama,Sci-Fi",Fritz Lang,"Thea von Harbou,Thea von Harbou","Brigitte Helm,Alfred Abel,Gustav Fröhlich",8.3,"125,051"
